status,google_file_id,source_path,mayan_document_id,error_message
uploaded,1dCUU0i51S5kBVFyv6woz1gWSUwPeWXSR,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Whatsapp/WA-2. Rights & Responsibilities V1 (22_12_23)_.docx,167,
uploaded,1_L3sfbviK1kAj9l1nhByJyH8RkOChM_s,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Emailers/pari_wa_en_2a_v1 - Patient Rights (edited V9)-FINAL-12_07_2025.docx,168,
uploaded,1Hjd4uOWquvBa1ByJMofAKHh7RsaDNsg7,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Emailers/pare_wa_en_2b_v1-Responsibilities (edited V9)-FINAL-12_07_2025.docx,169,
uploaded,1y4NAHcXREnMYB3aVnocueEO-C9lzQyYb,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Emailers/roca_wa_en_2c_v1-Role of Caregiver.docx,170,
uploaded,1_MBQReS89rG4E3MjOk-RhdqxHy-YbhZd,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Emailers/msac_wa_en_2d_v1 - Managing Stress as a Caregiver-final.docx,171,
uploaded,1u5cG9lBToYMiUID16LmT6mKIwTSlK5sb,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Emailers/vahs_wa_en_2e_v1-Apologies for Violence Against Healthcare Workers_ A Community Call to Action (7_9_24).docx,172,
uploaded,10U9abjFJ5ylxkJPGw0qWaB1E7pKwB8bj,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Emailers/rrco_wa_en_2g_v1– Rights and Responsibilities- Consolidated-Letter-final.docx,173,
uploaded,1JWWeyMMQQMY-Hyh2vkWaOlJ5SxAXKmOS,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Infographic/2 p Patient Rights & Responsibilities V-1.pdf,174,
uploaded,1Uvrbre0AgtocSNt0HlA-JXUyYP4V1SXp,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Infographic/Copy of What are the duties of caregiver.png,175,
uploaded,1xHGmNuq0snvixxGPKlplz8rTpR_bov4W,"PFPSF/2-Patient R & R-20260521T050131Z-3-001/2.4 Patient role in safety/Help doctors to best care for their patient, May 11, 2023.docx",176,
uploaded,1zp-EUW2UH8U9q5JiOxrMKXGKFSBusJQr,PFPSF/2-Patient R & R-20260521T050131Z-3-001/2.4 Patient role in safety/VIDEO-2023-05-11-15-48-09.mp4,177,
uploaded,1WNy5TQj9kPREQDQYAaTELEptt9PmE_K6,PFPSF/2-Patient R & R-20260521T050131Z-3-001/2.4 Patient role in safety/Patient role in safety (26.docx,178,
uploaded,13bfm1SqUIXp6I-85Om15djHTbkRRQEd_,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Base Document/msac_bd_en_2d_v1 - Base doc Caregiver care-.docx,179,
uploaded,18Ev_kl-4gDXSpK4EZiKpVD-ot66sDhbl,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Base Document/Base doc roca_bd_en_2c_v1 Role of caregiver_.docx,180,
uploaded,1hW96bSWsapKGwFKhUhA0VRlvhdpp0LSB,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Base Document/Patient role in safety (26.2.23.docx,181,
uploaded,10T_tOG6SNV4ic6TZa1wuHYYpIXsdS7zL,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Base Document/Patient Rights and Responsibilities.pdf,182,
uploaded,12PW1MkZycJUgqCkU85STuhCLHk6uJdax,PFPSF/2-Patient R & R-20260521T050131Z-3-001/Base Document/What are the duties of caregiver.png,183,
uploaded,1izcDasV6eqEPdAGpHE3w1eAFw3F4u2dZ,PFPSF/2-Patient R & R-20260521T050131Z-3-001/2.3 Caregiver Role/roca_bd_en_2c_v1-Role of caregiver - ChatGPT 13.05.23.docx,184,
uploaded,1wgtEviYiINGGuLtyjVcO-6sukpo3zJSc,PFPSF/2-Patient R & R-20260521T050131Z-3-001/2.3 Caregiver Role/Guide to Patient and Family Engagement in Hospital Quality and Safety _ Agency for Healthcare Research and Quality.pdf,185,
uploaded,1O5zrm8uETEcPWZMpVF1O5Z67WdiIsfWE,PFPSF/1-Medication/Posters/isdr_po_en_1f_v1-Tips to Safeguard against Spurious Medicines.pdf,186,
uploaded,12lMZDDn1U2tazNvS8YNapWl7wyBOvOLq,PFPSF/1-Medication/Posters/mmtr_po_en_1d_v1-Tips to Manage Medicines While Traveling.pdf,187,
uploaded,1JqJnQqXKZLZgtRYgfxmMdIwwIw5KwYDl,PFPSF/1-Medication/Posters/stme_po_en_1b_v1-Keep Medicines Safely At Home.pdf,188,
uploaded,1XzKMHRAiKrbmmPCHsY5DKLvY003Zi9T4,PFPSF/1-Medication/Posters/smdo_po_en_1c_v1-Common Medication Errors.pdf,189,
uploaded,1jO6o0oyuhN8ZxRxgR62Cik8NYvwjL3Tr,PFPSF/1-Medication/Posters/mesa_po_en_1a_v1-Tips For Medication Safety.pdf,190,
uploaded,1EHECDaJuodQxUEGHl7tuVU_TLxtFDEfc,PFPSF/1-Medication/FAQs/suab_wa_en_1j_v1-Substance Abuse-FAQs -draft-1.docx,191,
uploaded,174jocj60jQfs5X0TZ8Nc_vA-6dmjEX_2,PFPSF/1-Medication/Base Documents/rume_wa_en_1h_v1-Where can I return Medical waste-Base Doc.docx,192,
uploaded,1bnqg-gtMaag92KRFvIh1igklyzrUTi4G,PFPSF/1-Medication/Base Documents/mmpr_wa_en_1e_v1-Base doc- Multiple prescriptions.docx,193,
uploaded,1-nLJUg3h08A_JgD_KBJZOT8i0Zm6cUPL,PFPSF/1-Medication/Base Documents/isdr_wa_en_1f_v1- Base Doc - Identify Spurious Medicines.docx,194,
uploaded,1VOKDq3DVRugHysCeXIZwULHVQ2P-coGf,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Whatsapp/W3. Doctors Visit_.docx,195,
uploaded,1sEHI0V7LzxqATQ2nmGh58bk9swjDmH5h,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Video/Draft Videos/Draft Silent Video on Preparation before visiting a doctor - 20-8-24.mov,196,
uploaded,1-kolxyb7BAaVeTP6jX3BXbuJzmCeJaMU,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Video/Draft Videos/Trial - Silent Video on Preparation before visiting a doctor (20-8-24) .mov,197,
uploaded,1QagkXh3Um4emevaFOcctrIhmdwlMOVK1,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Video/MAKING VISIT TO YOUR DOCTOR EFFECTIVE HD.mp4,198,
uploaded,19M0sQF0lmsHNNKe_SIUXAJTYlBXXcWj3,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Infographic/udsu_po_en_3e_v1-Discharge Checklist.jpg,199,
uploaded,1yGkL-0INruA-3u3mG5oMEwmTAL7qkJ5I,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Infographic/saso_po_en_3c_v1-When to Seek a Second Opinion.jpg,200,
uploaded,1ys0pC2g1lfkhZU7zAzRguiOpkjuUOTEh,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Infographic/peid_po_en_3b_v1-How Patients can Prevent Errors in Diagnosis.jpg,201,
uploaded,1El4pdieq0j7PXubsa2JylracDzTGg-me,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Infographic/pfvd_po_en_3a_v1 Preparation Before Visiting a Doctor.jpg,202,
uploaded,1soaz7HpTz5yS2NBQoynsfmjy2mEpX92G,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Emailers/dtne_wa_en_3d_v1 - Unnecessary diagnostic .docx,203,
uploaded,1OffSsvnwubNXSPeQ-Qmr7BCFQNb6VUB_,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Emailers/saso_wa_en_3c_v1 - Second Opinion.docx.docx,204,
uploaded,1nz1m9yovPxmnLyUpkI3_by7MkzIkW2Pc,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Emailers/peid_wa_en_3b_v1 - How Can a Patient Prevent Errors in Diagnosis .docx,205,
uploaded,1hHEshmmGbD9ipVbZWHF30LN4V5SvbSHO,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Emailers/  pfvd_wa_en_3a_v1 - Preparation before visiting a Doctor  .docx,206,
uploaded,1qz5badav-7iNr64pufobO6fHGxwS4j7v,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Emailers/draft Unnecessary diagnostic check V3 .docx,207,
uploaded,1oc5yf2QeJhlcHxzynnQXBO_l_qNZ9C6y,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3. Doctors Visit/Hindi Newsletters/3.1  डॉक्टर से मिलने से पहले की तैयारी (WB).docx,208,
uploaded,1E8FWvMfVjKcNmrERDkktr2jXUU_6quSv,"PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3. Doctors Visit/saso_wa_en_3c_v1 - May 13, 2023.docx",209,
